Round,Location,Hard Mode,Zerg Ultralisk,Terran Firebat,Protoss Reaver,Infested Kerrigan (Infested Terran),Edmund Duke (Siege Tank),Tassadar (Templar),Hunter Killer (Hydralisk),Torrasque (Ultralisk),Zeratul (Dark Templar),Tom Kazansky (Wraith),Jim Raynor (Marine),Fenix (Dragoon),Zerg Zergling,Alexei Stukov (Ghost),Artanis (Scout),Zerg Devourer,Fenix (Zealot),Yggdrasill (Overlord),Alan Schezar (Goliath),Kukulza (Guardian),Norad II (Battlecruiser),Dark Templar (Hero),Sarah Kerrigan (Ghost),Danimoth (Arbiter),Protoss Observer,Kukulza (Mutalisk),Gantrithor (Carrier)
59,spawner2,,,,,,,,,15,,,,,15,15,15,15,15,1,15,15,,,,,,,
59,spawner,option 1,,,,,,,,,,,,,,,,,,,,2,,,,,,,
59,spawner,option 2,,,,,,,,,,,,,,,,,,,,,2,,,,,,
59,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,2,,,,,
59,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,2,,,,
60,spawner,,,,,,,,,15,,,,,15,15,15,15,15,1,15,15,,,,,,,
60,spawner2,,,,,,,,,15,,,,,15,15,15,15,15,1,15,15,,,,,,,
60,spawner,option 1,,,,,,,,,,,,,,,,,,,,2,,,,,,,
60,spawner,option 2,,,,,,,,,,,,,,,,,,,,,2,,,,,,
60,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,2,,,,,
60,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,2,,,,
61,spawner,,,,,,,,,15,,,,,,15,15,15,15,1,15,15,10,,,,1,,
61,spawner2,,,,,,,,,15,,,,,,15,15,15,15,1,15,15,10,,,,1,,
61,spawner,option 1,,,,,,,,,,,,,,,,,,,,,2,,,,,,
61,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,2,,,,,
61,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,2,,,,
61,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,2,,,
62,spawner,,,,,,,,,15,,,,,,15,15,15,15,1,15,15,10,,,,1,,
62,spawner2,,,,,,,,,15,,,,,,15,15,15,15,1,15,15,10,,,,1,,
62,spawner,option 1,,,,,,,,,,,,,,,,,,,,,2,,,,,,
62,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,2,,,,,
62,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,2,,,,
62,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,2,,,
63,spawner,,,,,,,,,15,,,,,,15,15,15,15,1,15,15,10,,,,1,,
63,spawner2,,,,,,,,,15,,,,,,15,15,15,15,1,15,15,10,,,,1,,
63,spawner,option 1,,,,,,,,,,,,,,,,,,,,,2,,,,,,
63,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,2,,,,,
63,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,2,,,,
63,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,2,,,
64,spawner,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,,,1,,
64,spawner2,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,,,1,,
64,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,2,,,,,
64,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,2,,,,
64,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,2,,,
64,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,2,
65,spawner,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,,,1,,
65,spawner2,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,,,1,,
65,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,2,,,,,
65,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,2,,,,
65,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,2,,,
65,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,2,
66,spawner,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,,,1,,
66,spawner2,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,,,1,,
66,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,2,,,,,
66,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,2,,,,
66,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,2,,,
66,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,2,
67,spawner,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,15,,1,,
67,spawner2,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,15,,1,,
67,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,2,,,,
67,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,2,,,
67,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,2,
67,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
68,spawner,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,15,,1,,
68,spawner2,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,15,,1,,
68,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,2,,,,
68,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,2,,,
68,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,2,
68,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69,spawner,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,15,,1,,
69,spawner2,,,,,,,,,15,,,,,,,15,15,15,1,15,15,10,15,15,,1,,
69,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,2,,,,
69,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,2,,,
69,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,2,
69,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,15,15,15,1,,
70,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,15,15,15,1,,
70,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,2,,,
70,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,2,
70,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,15,15,15,1,,
71,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,15,15,15,1,,
71,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,2,,,
71,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,2,
71,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,15,15,15,1,,
72,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,15,15,15,1,,
72,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,2,,,
72,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,2,
72,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,
73,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,
73,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,,,2,
73,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
74,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,
74,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,
74,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,,,2,
74,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
74,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
74,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,
75,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,
75,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,,,2,
75,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,5
76,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,5
76,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,5
77,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,5
77,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,spawner,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,5
78,spawner2,,,,,,,,,15,,,,,,,15,15,,1,15,15,10,,15,15,1,15,5
78,spawner,option 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,spawner,option 2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
